name,brand,category,price,rating,review,doRecommend
Acer S20,Acer,phone,486,4.8,Highly recommended product,1
Motorola S18,Motorola,phone,1032,5.0,Battery lasts long and smooth usage,1
Xiaomi Tab A10,Xiaomi,tablet,695,4.1,Very good for the price,1
Asus Tab S6,Asus,tablet,206,4.4,Battery lasts long and smooth usage,1
HP GT15,HP,phone,309,3.7,Excellent quality and design,0
HP Pro 15,HP,laptop,626,4.3,Great performance and battery life,1
Motorola Book 13,Motorola,laptop,1081,3.6,Fast and reliable device,0
Apple Note10,Apple,phone,545,4.8,Excellent quality and design,1
Asus Tab X8,Asus,tablet,123,4.2,Great performance and battery life,1
Huawei Flex 6,Huawei,laptop,465,3.5,Great performance and battery life,0
Dell Flex 14,Dell,laptop,676,4.0,Very good for the price,1
Samsung Pro 8,Samsung,laptop,1294,4.7,Decent product for daily use,1
MSI Tab A9,MSI,tablet,603,4.4,Great performance and battery life,1
Asus Pro21,Asus,phone,837,4.9,Very good for the price,1
MSI Elite 7,MSI,laptop,572,4.9,Battery lasts long and smooth usage,1
Lenovo Tab A5,Lenovo,tablet,403,3.8,Great performance and battery life,0
Lenovo Tab X1,Lenovo,tablet,715,4.7,Works well but could be better,1
Realme Note21,Realme,phone,1173,4.6,Fast and reliable device,1
Asus Tab M1,Asus,tablet,781,3.8,Works well but could be better,0
Microsoft GT13,Microsoft,phone,1078,4.4,Excellent quality and design,1
Apple GT25,Apple,phone,682,4.1,Works well but could be better,1
Xiaomi X 8,Xiaomi,laptop,868,4.2,Excellent quality and design,1
Huawei X28,Huawei,phone,696,4.2,Works well but could be better,1
Samsung GT25,Samsung,phone,1091,4.7,Works well but could be better,1
Microsoft Pro 7,Microsoft,laptop,806,4.3,Great performance and battery life,1
Acer S16,Acer,phone,250,4.1,Not bad but has some issues,1
Dell Book 10,Dell,laptop,1317,5.0,Highly recommended product,1
Microsoft Tab X9,Microsoft,tablet,317,4.4,Very good for the price,1
Dell Tab M9,Dell,tablet,671,4.0,Decent product for daily use,1
Microsoft X 6,Microsoft,laptop,630,4.6,Very good for the price,1
Apple Pro25,Apple,phone,668,4.4,Great performance and battery life,1
Acer Tab M2,Acer,tablet,123,3.5,Very good for the price,0
Realme Tab M9,Realme,tablet,746,4.8,Excellent quality and design,1
Lenovo Air 9,Lenovo,laptop,458,3.8,Not bad but has some issues,0
OnePlus Tab S5,OnePlus,tablet,329,3.9,Excellent quality and design,0
Motorola Elite 12,Motorola,laptop,443,4.0,Fast and reliable device,1
Realme Tab S4,Realme,tablet,136,3.9,Amazing experience overall,0
Microsoft S18,Microsoft,phone,525,4.1,Great performance and battery life,1
HP Tab X3,HP,tablet,412,3.9,Works well but could be better,0
OnePlus Tab M2,OnePlus,tablet,576,3.8,Very good for the price,0
Samsung Tab S2,Samsung,tablet,458,4.8,Highly recommended product,1
Dell Tab S8,Dell,tablet,488,3.7,Not bad but has some issues,0
Samsung GT7,Samsung,phone,849,4.4,Very good for the price,1
Dell Tab X2,Dell,tablet,648,4.5,Decent product for daily use,1
Huawei Pro25,Huawei,phone,757,4.4,Battery lasts long and smooth usage,1
Google X27,Google,phone,956,4.1,Battery lasts long and smooth usage,1
Dell Pro 12,Dell,laptop,777,3.9,Amazing experience overall,0
Google Elite 4,Google,laptop,746,4.4,Battery lasts long and smooth usage,1
Microsoft Tab M3,Microsoft,tablet,622,4.3,Amazing experience overall,1
Huawei Flex 13,Huawei,laptop,1395,4.9,Amazing experience overall,1
Realme X21,Realme,phone,638,3.6,Not bad but has some issues,0
Samsung Flex 3,Samsung,laptop,795,4.7,Decent product for daily use,1
Huawei Pro17,Huawei,phone,800,3.9,Not bad but has some issues,0
Apple Flex 5,Apple,laptop,655,4.7,Excellent quality and design,1
OnePlus Tab X3,OnePlus,tablet,453,4.4,Fast and reliable device,1
MSI Pro16,MSI,phone,1168,3.7,Amazing experience overall,0
Microsoft Tab M7,Microsoft,tablet,635,3.8,Amazing experience overall,0
Microsoft Tab S2,Microsoft,tablet,160,4.6,Excellent quality and design,1
Microsoft X19,Microsoft,phone,166,4.7,Works well but could be better,1
MSI GT10,MSI,phone,909,4.2,Amazing experience overall,1
Apple Tab M1,Apple,tablet,427,4.9,Battery lasts long and smooth usage,1
Motorola X27,Motorola,phone,902,3.6,Great performance and battery life,0
Dell Pro27,Dell,phone,240,4.2,Amazing experience overall,1
Huawei Air 14,Huawei,laptop,716,3.7,Great performance and battery life,0
Asus Tab S10,Asus,tablet,522,4.6,Battery lasts long and smooth usage,1
Dell GT26,Dell,phone,1192,3.8,Excellent quality and design,0
HP Pro 5,HP,laptop,971,3.7,Battery lasts long and smooth usage,0
Motorola Tab X4,Motorola,tablet,218,4.0,Highly recommended product,1
Acer X15,Acer,phone,484,4.7,Battery lasts long and smooth usage,1
Lenovo GT22,Lenovo,phone,1111,4.1,Not bad but has some issues,1
Apple Air 12,Apple,laptop,865,3.8,Fast and reliable device,0
Lenovo Pro 12,Lenovo,laptop,1368,3.9,Decent product for daily use,0
OnePlus Tab S10,OnePlus,tablet,137,4.4,Amazing experience overall,1
Samsung S16,Samsung,phone,992,4.2,Excellent quality and design,1
MSI GT20,MSI,phone,881,4.2,Works well but could be better,1
Dell X12,Dell,phone,1164,4.7,Very good for the price,1
Microsoft Air 9,Microsoft,laptop,1275,4.3,Fast and reliable device,1
Asus Flex 9,Asus,laptop,588,3.9,Battery lasts long and smooth usage,0
Asus Book 5,Asus,laptop,500,3.6,Very good for the price,0
HP Pro6,HP,phone,450,4.6,Highly recommended product,1
Lenovo S17,Lenovo,phone,617,4.4,Very good for the price,1
Dell S9,Dell,phone,1185,4.7,Fast and reliable device,1
Samsung Book 14,Samsung,laptop,1184,4.7,Excellent quality and design,1
Huawei Tab M9,Huawei,tablet,544,4.3,Amazing experience overall,1
OnePlus Tab X9,OnePlus,tablet,535,4.6,Battery lasts long and smooth usage,1
MSI Tab A9,MSI,tablet,382,4.8,Amazing experience overall,1
OnePlus Tab M10,OnePlus,tablet,231,4.0,Very good for the price,1
Microsoft Pro 9,Microsoft,laptop,586,4.8,Not bad but has some issues,1
Dell S8,Dell,phone,1029,4.4,Highly recommended product,1
HP Book 15,HP,laptop,761,4.7,Amazing experience overall,1
Apple Tab A4,Apple,tablet,748,3.9,Fast and reliable device,0
MSI X2,MSI,phone,685,4.9,Battery lasts long and smooth usage,1
OnePlus Flex 15,OnePlus,laptop,929,4.3,Excellent quality and design,1
Realme Pro3,Realme,phone,729,4.6,Works well but could be better,1
OnePlus Tab A5,OnePlus,tablet,770,3.8,Excellent quality and design,0
Apple S23,Apple,phone,965,4.4,Decent product for daily use,1
Apple GT10,Apple,phone,1042,4.0,Works well but could be better,1
Samsung Tab A5,Samsung,tablet,249,4.9,Fast and reliable device,1
Google GT11,Google,phone,1112,3.9,Fast and reliable device,0
Asus Tab M10,Asus,tablet,559,5.0,Not bad but has some issues,1
Realme Tab S3,Realme,tablet,353,3.9,Very good for the price,0
HP Tab A9,HP,tablet,142,3.8,Battery lasts long and smooth usage,0
Realme S20,Realme,phone,209,4.1,Battery lasts long and smooth usage,1
Google Book 8,Google,laptop,1332,3.7,Excellent quality and design,0
HP X 8,HP,laptop,1359,3.5,Decent product for daily use,0
MSI S28,MSI,phone,609,4.1,Not bad but has some issues,1
Asus X 13,Asus,laptop,670,4.6,Very good for the price,1
MSI Pro 4,MSI,laptop,863,4.2,Not bad but has some issues,1
Xiaomi GT9,Xiaomi,phone,915,4.5,Battery lasts long and smooth usage,1
HP Pro24,HP,phone,595,4.3,Battery lasts long and smooth usage,1
MSI X22,MSI,phone,324,3.7,Decent product for daily use,0
HP Flex 9,HP,laptop,1477,4.3,Great performance and battery life,1
Dell Pro 6,Dell,laptop,563,3.6,Amazing experience overall,0
Samsung Tab S6,Samsung,tablet,566,4.3,Decent product for daily use,1
Google X 14,Google,laptop,944,3.9,Very good for the price,0
Lenovo X17,Lenovo,phone,772,3.8,Decent product for daily use,0
Lenovo Air 6,Lenovo,laptop,865,4.7,Works well but could be better,1
Lenovo Tab M9,Lenovo,tablet,366,3.9,Decent product for daily use,0
Microsoft X 8,Microsoft,laptop,559,4.1,Battery lasts long and smooth usage,1
Lenovo Tab M8,Lenovo,tablet,785,3.8,Great performance and battery life,0
Google Book 7,Google,laptop,773,4.3,Amazing experience overall,1
Samsung Tab S5,Samsung,tablet,218,3.6,Fast and reliable device,0
Apple Tab A1,Apple,tablet,407,4.6,Great performance and battery life,1
Xiaomi S11,Xiaomi,phone,355,3.6,Battery lasts long and smooth usage,0
Lenovo Tab S5,Lenovo,tablet,622,4.1,Amazing experience overall,1
Samsung X 14,Samsung,laptop,1231,4.6,Excellent quality and design,1
OnePlus Pro26,OnePlus,phone,1068,4.4,Very good for the price,1
Acer Note10,Acer,phone,819,4.3,Battery lasts long and smooth usage,1
Apple Tab X2,Apple,tablet,474,3.8,Great performance and battery life,0
Acer X 10,Acer,laptop,1188,4.4,Decent product for daily use,1
Realme GT12,Realme,phone,387,4.5,Battery lasts long and smooth usage,1
Xiaomi Tab M7,Xiaomi,tablet,575,3.6,Great performance and battery life,0
MSI Tab M5,MSI,tablet,397,3.6,Very good for the price,0
Dell S25,Dell,phone,802,3.5,Great performance and battery life,0
MSI Tab S2,MSI,tablet,703,4.9,Decent product for daily use,1
Huawei Tab M1,Huawei,tablet,707,4.5,Amazing experience overall,1
Google Pro20,Google,phone,307,5.0,Great performance and battery life,1
Asus S3,Asus,phone,849,4.8,Works well but could be better,1
Acer Tab S2,Acer,tablet,200,3.5,Fast and reliable device,0
Microsoft Tab M1,Microsoft,tablet,697,4.5,Great performance and battery life,1
HP Note22,HP,phone,631,4.8,Excellent quality and design,1
OnePlus Pro16,OnePlus,phone,1102,4.6,Not bad but has some issues,1
HP Note29,HP,phone,661,3.8,Not bad but has some issues,0
Huawei X 15,Huawei,laptop,1251,4.5,Very good for the price,1
Xiaomi Tab S2,Xiaomi,tablet,506,4.0,Not bad but has some issues,1
Samsung Tab M2,Samsung,tablet,656,4.5,Battery lasts long and smooth usage,1
OnePlus Tab S6,OnePlus,tablet,635,4.3,Highly recommended product,1
Xiaomi S19,Xiaomi,phone,408,5.0,Excellent quality and design,1
Huawei Tab M3,Huawei,tablet,339,3.8,Very good for the price,0
Asus X19,Asus,phone,774,4.3,Great performance and battery life,1
MSI Air 10,MSI,laptop,1180,3.8,Highly recommended product,0
Huawei Book 15,Huawei,laptop,586,4.6,Works well but could be better,1
Google Note14,Google,phone,1163,4.9,Great performance and battery life,1
Apple Pro 5,Apple,laptop,826,3.7,Not bad but has some issues,0
Xiaomi X 7,Xiaomi,laptop,711,4.5,Great performance and battery life,1
MSI Tab S10,MSI,tablet,307,4.5,Works well but could be better,1
Samsung Flex 6,Samsung,laptop,1176,4.3,Battery lasts long and smooth usage,1
Lenovo GT20,Lenovo,phone,638,4.4,Not bad but has some issues,1
Motorola Tab S1,Motorola,tablet,109,4.2,Amazing experience overall,1
Realme GT25,Realme,phone,783,3.6,Not bad but has some issues,0
Acer Book 14,Acer,laptop,911,4.8,Great performance and battery life,1
Xiaomi Tab A5,Xiaomi,tablet,182,3.6,Not bad but has some issues,0
Acer Tab S1,Acer,tablet,516,3.8,Great performance and battery life,0
Realme Tab X1,Realme,tablet,258,3.8,Works well but could be better,0
Apple Pro 13,Apple,laptop,1293,4.0,Amazing experience overall,1
Realme Tab M10,Realme,tablet,236,3.6,Great performance and battery life,0
Xiaomi Tab M9,Xiaomi,tablet,636,4.2,Fast and reliable device,1
Realme Air 15,Realme,laptop,1308,4.4,Amazing experience overall,1
Microsoft Tab X3,Microsoft,tablet,251,3.8,Battery lasts long and smooth usage,0
Acer S15,Acer,phone,967,4.8,Battery lasts long and smooth usage,1
Acer Elite 4,Acer,laptop,737,4.7,Fast and reliable device,1
MSI S13,MSI,phone,466,3.8,Decent product for daily use,0
HP X 8,HP,laptop,456,4.1,Highly recommended product,1
OnePlus Note26,OnePlus,phone,1015,4.4,Decent product for daily use,1
Lenovo Note18,Lenovo,phone,226,4.3,Very good for the price,1
Asus S25,Asus,phone,410,4.3,Excellent quality and design,1
Huawei Flex 11,Huawei,laptop,514,5.0,Not bad but has some issues,1
Asus Tab M7,Asus,tablet,134,3.9,Not bad but has some issues,0
Apple Note12,Apple,phone,534,4.6,Very good for the price,1
Acer Book 4,Acer,laptop,1388,3.8,Fast and reliable device,0
Dell Tab X7,Dell,tablet,478,3.9,Great performance and battery life,0
Xiaomi Pro26,Xiaomi,phone,1101,3.6,Not bad but has some issues,0
Huawei Tab M1,Huawei,tablet,148,3.8,Amazing experience overall,0
Xiaomi Tab S1,Xiaomi,tablet,236,4.1,Very good for the price,1
Apple Tab A3,Apple,tablet,270,4.6,Works well but could be better,1
Xiaomi S19,Xiaomi,phone,464,4.9,Battery lasts long and smooth usage,1
MSI Tab X7,MSI,tablet,776,4.3,Amazing experience overall,1
Samsung GT2,Samsung,phone,1094,4.8,Amazing experience overall,1
Dell Note27,Dell,phone,912,4.0,Excellent quality and design,1
Huawei Air 6,Huawei,laptop,1380,4.6,Amazing experience overall,1
Huawei Pro27,Huawei,phone,895,3.7,Works well but could be better,0
Huawei Book 6,Huawei,laptop,1084,4.9,Works well but could be better,1
Lenovo Tab S6,Lenovo,tablet,243,4.7,Excellent quality and design,1
OnePlus Tab M2,OnePlus,tablet,312,4.7,Great performance and battery life,1
Microsoft Tab M7,Microsoft,tablet,102,4.7,Battery lasts long and smooth usage,1
Dell Pro 10,Dell,laptop,1000,4.3,Not bad but has some issues,1
Acer X 7,Acer,laptop,674,4.2,Excellent quality and design,1
Xiaomi GT30,Xiaomi,phone,1137,3.7,Not bad but has some issues,0
Lenovo Book 11,Lenovo,laptop,902,4.9,Excellent quality and design,1
Huawei X19,Huawei,phone,650,3.8,Works well but could be better,0
HP Tab A7,HP,tablet,293,4.2,Very good for the price,1
Motorola Elite 5,Motorola,laptop,502,4.3,Amazing experience overall,1
Motorola Tab M5,Motorola,tablet,737,3.8,Fast and reliable device,0
Dell S22,Dell,phone,994,3.7,Amazing experience overall,0
Google Note20,Google,phone,392,4.7,Highly recommended product,1
Huawei Elite 8,Huawei,laptop,1056,3.5,Highly recommended product,0
HP Note24,HP,phone,847,4.1,Fast and reliable device,1
HP Pro10,HP,phone,1133,4.0,Amazing experience overall,1
Lenovo Tab S4,Lenovo,tablet,206,4.0,Very good for the price,1
Huawei Tab A6,Huawei,tablet,156,3.6,Amazing experience overall,0
Dell GT30,Dell,phone,529,4.4,Not bad but has some issues,1
Samsung Tab X10,Samsung,tablet,209,3.5,Not bad but has some issues,0
MSI Book 9,MSI,laptop,596,3.6,Great performance and battery life,0
MSI X11,MSI,phone,698,4.0,Highly recommended product,1
Dell S20,Dell,phone,386,3.9,Amazing experience overall,0
Apple Flex 10,Apple,laptop,788,4.4,Battery lasts long and smooth usage,1
Apple Air 6,Apple,laptop,1041,3.7,Decent product for daily use,0
Apple Tab A2,Apple,tablet,637,4.9,Highly recommended product,1
Asus Tab A2,Asus,tablet,451,3.6,Great performance and battery life,0
Asus Tab A10,Asus,tablet,776,3.6,Not bad but has some issues,0
Realme Pro30,Realme,phone,472,3.7,Battery lasts long and smooth usage,0
Samsung GT24,Samsung,phone,156,4.3,Amazing experience overall,1
Xiaomi GT16,Xiaomi,phone,1099,4.1,Decent product for daily use,1
OnePlus Note17,OnePlus,phone,555,4.9,Very good for the price,1
Dell Note21,Dell,phone,183,3.6,Battery lasts long and smooth usage,0
Realme Pro17,Realme,phone,193,4.9,Not bad but has some issues,1
Asus Tab X8,Asus,tablet,162,4.3,Battery lasts long and smooth usage,1
Dell Pro2,Dell,phone,450,4.2,Fast and reliable device,1
OnePlus Flex 4,OnePlus,laptop,947,4.0,Highly recommended product,1
Dell Tab X1,Dell,tablet,384,4.0,Fast and reliable device,1
Google GT1,Google,phone,232,4.1,Great performance and battery life,1
HP Tab S7,HP,tablet,508,3.5,Highly recommended product,0
Microsoft Flex 13,Microsoft,laptop,1315,3.5,Works well but could be better,0
Apple Tab X4,Apple,tablet,313,4.3,Fast and reliable device,1
Motorola X10,Motorola,phone,890,4.0,Not bad but has some issues,1
OnePlus S17,OnePlus,phone,825,4.2,Excellent quality and design,1
OnePlus Tab A5,OnePlus,tablet,757,4.4,Excellent quality and design,1
OnePlus Tab A8,OnePlus,tablet,456,3.6,Battery lasts long and smooth usage,0
MSI Flex 7,MSI,laptop,644,4.9,Excellent quality and design,1
Huawei Tab X10,Huawei,tablet,121,4.0,Great performance and battery life,1
OnePlus Tab X2,OnePlus,tablet,410,4.6,Battery lasts long and smooth usage,1
Samsung S20,Samsung,phone,1180,4.1,Decent product for daily use,1
Lenovo X5,Lenovo,phone,472,3.7,Very good for the price,0
Asus Pro 6,Asus,laptop,1116,4.1,Decent product for daily use,1
Samsung Tab X1,Samsung,tablet,650,4.9,Great performance and battery life,1
Acer X 6,Acer,laptop,947,3.9,Not bad but has some issues,0
Realme S19,Realme,phone,186,4.6,Highly recommended product,1
Samsung Tab A3,Samsung,tablet,224,3.7,Decent product for daily use,0
Samsung Tab X4,Samsung,tablet,238,3.7,Works well but could be better,0
MSI Note23,MSI,phone,771,4.3,Decent product for daily use,1
HP Pro 5,HP,laptop,523,4.5,Amazing experience overall,1
Lenovo Tab M4,Lenovo,tablet,410,4.9,Excellent quality and design,1
Samsung S3,Samsung,phone,1136,4.1,Very good for the price,1
Huawei Flex 10,Huawei,laptop,976,4.8,Highly recommended product,1
HP GT3,HP,phone,1154,4.5,Great performance and battery life,1
OnePlus X17,OnePlus,phone,182,3.6,Very good for the price,0
HP S14,HP,phone,1041,4.2,Great performance and battery life,1
Motorola Elite 4,Motorola,laptop,1350,3.7,Great performance and battery life,0
Apple X17,Apple,phone,446,4.0,Excellent quality and design,1
OnePlus Air 3,OnePlus,laptop,446,4.8,Excellent quality and design,1
Samsung Tab S8,Samsung,tablet,352,4.2,Works well but could be better,1
MSI Flex 11,MSI,laptop,1343,4.1,Excellent quality and design,1
Samsung Elite 4,Samsung,laptop,1186,4.3,Not bad but has some issues,1
OnePlus X20,OnePlus,phone,516,3.9,Excellent quality and design,0
Huawei Pro9,Huawei,phone,548,3.7,Works well but could be better,0
Huawei Book 10,Huawei,laptop,1433,3.6,Very good for the price,0
OnePlus Book 5,OnePlus,laptop,1471,4.0,Not bad but has some issues,1
Realme Air 13,Realme,laptop,1263,3.6,Great performance and battery life,0
Acer Tab S8,Acer,tablet,324,4.2,Amazing experience overall,1
Microsoft X27,Microsoft,phone,1100,4.2,Very good for the price,1
Acer Pro14,Acer,phone,593,4.9,Excellent quality and design,1
Acer S7,Acer,phone,258,4.4,Battery lasts long and smooth usage,1
Asus X 8,Asus,laptop,440,4.9,Great performance and battery life,1
MSI X10,MSI,phone,543,4.2,Amazing experience overall,1
MSI Tab M9,MSI,tablet,290,4.2,Amazing experience overall,1
OnePlus S10,OnePlus,phone,374,3.9,Battery lasts long and smooth usage,0
Lenovo Tab M2,Lenovo,tablet,334,4.7,Not bad but has some issues,1
Apple Tab S4,Apple,tablet,420,3.7,Fast and reliable device,0
Xiaomi Tab A4,Xiaomi,tablet,559,5.0,Battery lasts long and smooth usage,1
Asus GT10,Asus,phone,258,4.8,Fast and reliable device,1
Huawei X23,Huawei,phone,285,3.7,Excellent quality and design,0
MSI Tab M5,MSI,tablet,483,4.3,Great performance and battery life,1
HP Tab S1,HP,tablet,132,3.9,Amazing experience overall,0
MSI GT19,MSI,phone,927,4.6,Decent product for daily use,1
Apple Tab A2,Apple,tablet,331,3.6,Amazing experience overall,0
Xiaomi Tab M5,Xiaomi,tablet,697,4.4,Excellent quality and design,1
Motorola X1,Motorola,phone,726,3.6,Excellent quality and design,0
OnePlus Tab A2,OnePlus,tablet,511,4.4,Not bad but has some issues,1
Motorola Note2,Motorola,phone,1100,4.5,Not bad but has some issues,1
Acer Pro21,Acer,phone,523,3.9,Very good for the price,0
Microsoft Tab S6,Microsoft,tablet,120,4.3,Highly recommended product,1
Acer Tab A10,Acer,tablet,443,4.9,Decent product for daily use,1
Microsoft Note5,Microsoft,phone,318,4.6,Very good for the price,1
Samsung Tab A2,Samsung,tablet,218,4.3,Not bad but has some issues,1
Acer Tab S7,Acer,tablet,113,5.0,Works well but could be better,1
Dell Tab A4,Dell,tablet,701,4.7,Fast and reliable device,1
Acer Tab A3,Acer,tablet,290,3.7,Amazing experience overall,0
Microsoft Flex 15,Microsoft,laptop,1139,4.1,Highly recommended product,1
MSI Tab S8,MSI,tablet,525,4.2,Not bad but has some issues,1
HP Elite 14,HP,laptop,659,3.8,Very good for the price,0
Asus X 7,Asus,laptop,1257,4.4,Battery lasts long and smooth usage,1
Huawei Air 14,Huawei,laptop,492,4.8,Amazing experience overall,1
Microsoft Tab X10,Microsoft,tablet,715,3.9,Fast and reliable device,0
Apple Note29,Apple,phone,712,4.4,Decent product for daily use,1
Realme X5,Realme,phone,633,4.5,Not bad but has some issues,1
Dell Air 11,Dell,laptop,538,3.9,Amazing experience overall,0
HP Book 8,HP,laptop,1409,4.3,Battery lasts long and smooth usage,1
OnePlus Note10,OnePlus,phone,352,3.9,Not bad but has some issues,0
Acer X7,Acer,phone,1035,4.6,Not bad but has some issues,1
Samsung Tab X10,Samsung,tablet,629,3.6,Excellent quality and design,0
Lenovo Tab M6,Lenovo,tablet,713,4.7,Not bad but has some issues,1
Dell X 9,Dell,laptop,1007,4.4,Very good for the price,1
MSI X7,MSI,phone,610,3.6,Great performance and battery life,0
Huawei X 3,Huawei,laptop,690,3.5,Very good for the price,0
Google X 14,Google,laptop,693,3.6,Fast and reliable device,0
OnePlus Flex 4,OnePlus,laptop,1183,4.1,Very good for the price,1
Realme GT30,Realme,phone,442,3.6,Very good for the price,0
Motorola Note7,Motorola,phone,490,3.6,Fast and reliable device,0
Apple X 8,Apple,laptop,1405,4.8,Very good for the price,1
Samsung Tab X5,Samsung,tablet,135,4.0,Not bad but has some issues,1
HP X 8,HP,laptop,1079,4.2,Fast and reliable device,1
Motorola Pro20,Motorola,phone,316,4.5,Highly recommended product,1
Google Note30,Google,phone,885,3.8,Not bad but has some issues,0
MSI Note9,MSI,phone,865,3.8,Highly recommended product,0
Realme Book 10,Realme,laptop,728,4.5,Great performance and battery life,1
Samsung X27,Samsung,phone,933,4.0,Works well but could be better,1
Motorola X 14,Motorola,laptop,1251,4.7,Highly recommended product,1
Acer GT2,Acer,phone,741,3.6,Decent product for daily use,0
Asus X 3,Asus,laptop,1357,3.8,Decent product for daily use,0
Huawei Tab M4,Huawei,tablet,550,4.6,Very good for the price,1
Dell Tab A9,Dell,tablet,769,4.5,Highly recommended product,1
Samsung Air 5,Samsung,laptop,492,4.3,Fast and reliable device,1
